Категория,Название,Цена,Ссылка
Овощи и фрукты / Овощи,"Кабачки, кг","278,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/kabachki-kg-18870-parent
Овощи и фрукты / Овощи,"Томаты розовые, кг","308,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/tomaty-rozovye-kg
Овощи и фрукты / Овощи,Чеснок 3шт,"41,50₽",https://www.okeydostavka.ru/spb/chesnok-3sht-upak
Овощи и фрукты / Овощи,Сельдерей стеблевой шт,"89,99₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/sel-derei-steblevoi-sht
Овощи и фрукты / Овощи,Томаты черри 250г,"128,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/tomaty-cherri-250g-upak
Овощи и фрукты / Овощи,Картофель сетка 5кг,"199,99₽",https://www.okeydostavka.ru/spb/kartofel-setka-5kg-upak
Овощи и фрукты / Овощи,"Томаты, кг","195,50₽",https://www.okeydostavka.ru/spb/tomaty-kg-15397-parent
Овощи и фрукты / Овощи,Морковь мытая 1кг,"59,99₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/morkov-mytaia-1kg-p-e-upak
Овощи и фрукты / Овощи,Огурцы среднеплодные гладкие 600г,"154,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/ogurtsy-sredneplodnye-gladkie-600g-upak-472251-parent
Овощи и фрукты / Овощи,Томаты черри на ветке Премиум 250г,"278,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/tomat-cherri-na-vetke-premium-250g-upak
Овощи и фрукты / Овощи,"Огурцы среднеплодные гладкие тепличные, кг","87,50₽",https://www.okeydostavka.ru/spb/ogurtsy-sredneplodnye-gladkie-teplichnye-kg
Овощи и фрукты / Овощи,"Перец красный, кг","350,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/perets-krasnyi-kg
Овощи и фрукты / Овощи,"Огурцы Луховицкие, кг","339,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/ogurtsy-lukhovitskie-kg
Овощи и фрукты / Овощи,Перец красный 2шт,"185,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/perets-krasnyi-2sht-upak
Овощи и фрукты / Овощи,Грибы шампиньоны 400г,"139,99₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/griby-shampin-ony-400g-upak
Овощи и фрукты / Овощи,Томат Азербайджан розовый 500г,"267,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/tomat-azerbaidzhan-rozovyi-500g-upak
Овощи и фрукты / Овощи,"Томат Азербайджан розовый, кг","299,99₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/tomaty-azerbaidzhan-rozovye-kg
Овощи и фрукты / Овощи,"Грибы шампиньоны, кг","267,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/griby-shampin-ony-kg
Овощи и фрукты / Овощи,"Лук репчатый красный, кг","82,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/luk-repchatyi-krasnyi-kg
Овощи и фрукты / Овощи,"Огурцы Мева, шт","82,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/ogurtsy-meva-sht
Овощи и фрукты / Овощи,Свекла мытая 1кг,"69,99₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/svekla-mytaia-1kg-p-e-upak
Овощи и фрукты / Овощи,Редис 500г,"113,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/redis-500g-upak
Овощи и фрукты / Овощи,Огурцы корнишоны 300г,"159,99₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/ogurtsy-kornishony-300g-upak
Овощи и фрукты / Овощи,"Тыква Витаминная, кг","92,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/tykva-vitaminnaia-kg
Овощи и фрукты / Овощи,Томаты черри красные на ветке сладкие 200г,"159,99₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/tomaty-cherri-krasnye-na-vetke-sladkie-200g-upak
Овощи и фрукты / Овощи,Грибы шампиньоны 250г,"133,50₽",https://www.okeydostavka.ru/spb/griby-shampin-ony-250g-upak-798437-parent
Овощи и фрукты / Овощи,"Капуста цветная, кг","236,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/kapusta-tsvetnaia-kg
Овощи и фрукты / Овощи,Томаты тепличные 500г,"154,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/tomaty-teplichnye-500g-upak
Овощи и фрукты / Овощи,Свекла отварная 500г,"97,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/svekla-otvarnaia-500g-upak
Овощи и фрукты / Овощи,"Огурцы среднеплодные колючие тепличные, кг","308,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/ogurtsy-sredneplodnye-koliuchie-teplichnye-kg
Овощи и фрукты / Овощи,Томаты розовые тепличные 500г,"236,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/tomaty-rozovye-teplichnye-500g-upak
Овощи и фрукты / Овощи,Морковь мытая 600г,"61,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/morkov-mytaia-600g-upak
Овощи и фрукты / Овощи,Лук красный чулок 500г,"54,99₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/luk-krasnyi-chulok-500g-upak
Овощи и фрукты / Овощи,Картофель для варки 3кг,"267,50₽",https://www.okeydostavka.ru/spb/kartofel-dlia-varki-3kg-upak
Овощи и фрукты / Овощи,"Капуста краснокочанная, кг","113,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/kapusta-krasnokochannaia-kg
